BLE_fischart;species_code;german_name;species_name;species_namesc;target_assemblage_code;grouped_species;target_assemblage
RNG;RNG;Rundnasengrenadier;Roundnose grenadier;Coryphaenoides rupestris;DWS;Grenadiers;Deep-water species
SAL;SAL;Lachs;Salmon;Salmo salar;ANA;Salmonids, Freshwater- & Brackish fish;Anadromous species
SAN;SAN;Sandaal N. N. B.;Sandeels nei;Ammodytidae;DEF;Sandeels;Demersal fish
SBR;SBR;Rote Fleckbrasse;Blackspot(=red) seabream;Pagellus bogaraveo;DEF;non-target demersal fish;Demersal fish
SCB;SCB;Kamm-Muschel;Atlantic bay scallop;Argopecten irradians;MOL;other mussels;Molluscs
SCK;SCK;Schokoladenhai;Kitefin shark;Dalatias licha;ANA;non-target demersal fish;Anadromous species
SAR;SDB;Sardinelle (Sardinen-Heringsart);White sardinella;Sardinella albella;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
SFS;SFS;Silberner Degenfisch;Silver scabbardfish;Lepidopus caudatus;DEF;non-target demersal fish;Demersal fish
SHG;SHG;Maifisch;American gizzard shad;Dorosoma cepedianum;ANA;Salmonids, Freshwater- & Brackish fish;Anadromous species
SKA;SKA;Rochen N. N. B.;Other rays and skates;Rajidae;DEF;non-target demersal fish;Demersal fish
SLO;SLO;Languste;Common spiny lobster;Palinurus elephas;CRU;Benthic decapods;Crustaceans
SME;SME;Stint;European smelt;Osmerus eperlanus;ANA;Salmonids, Freshwater- & Brackish fish;Anadromous species
SOL;SOL;Seezunge;Sole;Solea solea;DEF;Sole;Demersal fish
SPR;SPR;Sprott;Sprat;Sprattus sprattus;SPF;Sprat;Small pelagic fish
SQR;SQR;Gewohnter Kalmar;European squid;Loligo vulgaris;CEP;Cephalopods;Cephalopods
SQU;SQU;Tintenfisch N. N. B.;Various squids nei;Loliginidae, Ommastrephidae;CEP;Cephalopods;Cephalopods
SRA;SRA;Grauer Knurrhahn;Grey gurnard;Eutrigla gurnardus;DEF;non-target demersal fish;Demersal fish
STB;STB;;Striped bass;Morone saxatilis;DEF;non-target demersal fish;Demersal fish
STU;STU;Störe N. N. B.;Sturgeons nei;Acipenseridae;ANA;Salmonids, Freshwater- & Brackish fish;Anadromous species
SWO;SWO;Schwertfisch;Swordfish;Xiphias gladius;LPF;non-target large pelagic fish;Large pelagic fish
TRO;TRO;Forellen N. N. B.;Trouts nei;Salmo spp.;ANA;Salmonids, Freshwater- & Brackish fish;Anadromous species
TRS;TRS;Meerforelle;Sea trout;Salmo trutta;ANA;Salmonids, Freshwater- & Brackish fish;Anadromous species
TUN;TUN;Thune N. N. B.;Tunas nei;Thunnini;LPF;non-target large pelagic fish;Large pelagic fish
TUR;TUR;Steinbutt;Turbot;Psetta maxima;DEF;High-priced flatfish;Demersal fish
TUX;TUX;Thunartige N. N. B.;Tuna-like fishes nei;Scombroidei;LPF;non-target large pelagic fish;Large pelagic fish
USK;USK;Lumb;Tusk;Brosme brosme;DEF;non-target demersal fish;Demersal fish
WHB;WHB;Blauer Wittling;Blue whiting;Micromesistius poutassou;SPF;Blue whiting;Small pelagic fish
WHG;WHG;Wittling;Whiting;Merlangius merlangus;DEF;Whiting;Demersal fish
WIT;WIT;Hundszunge;Witch;Glyptocephalus cynoglossus;DEF;Low-priced flatfish;Demersal fish
RJC;RJC;Nagelrochen;Thornback ray;Raja clavata;DEF;non-target demersal fish;Demersal fish
JAI;JAI;;Brown ray;Raja miraletus;DEF;non-target demersal fish;Demersal fish
RJM;RJM;Fleckrochen;Spotted ray;Raja montagui;DEF;non-target demersal fish;Demersal fish
RJN;RJN;Kuckucksrochen;Cuckoo ray;Raja naevus;DEF;non-target demersal fish;Demersal fish
RJR;RJR;Sternrochen;Starry ray;Raja radiata;DEF;non-target demersal fish;Demersal fish
CTC;CTC;Sepia;Cuttlefish;Sepia officinalis;CEP;Cephalopods;Cephalopods
RAZ;RAZ;;Razor clams;Solen spp.;MOL;other mussels;Molluscs
HOM;HOM;Stöcker, Holzmakrele;Horse mackerel;Trachurus trachurus;SPF;other mackerels;Small pelagic fish
CUT;CUT;Degenfische;Scabbardfish;Trichiuridae;DEF;non-target deep-water fish;Demersal fish
GUU;GUU;Roter Knurrhahn;Tub gurnard;Trigla lucerna;DEF;non-target demersal fish;Demersal fish
BIB;BIB;Franzosendorsch;Bib;Trisopterus luscus;DEF;non-target demersal fish;Demersal fish
POD;POD;Zwergdorsch nsp;Poor cod;Trisopterus minutus;DEF;non-target demersal fish;Demersal fish
RJH;RJH;Blondrochen;Blonde ray;Raja brachyura;DEF;non-target demersal fish;Demersal fish
FOR;FOR;Gabeldorsch;Forkbeard;Phycis phycis;DEF;non-target demersal fish;Demersal fish
SCE;SCE;Grosse Kammmuschel;Great scallop;Pecten maximus;MOL;other mussels;Molluscs
PAN;PAN;Garnelen N. N. B.;Pandalid shrimps;Pandalus spp.;CRU;other shrimps;Crustaceans
OCC;OCC;Oktopus;Octopus;Octopus vulgaris;CEP;Cephalopods;Cephalopods
MUR;MUR;Streifenbarbe;Striped mullet;Mullus surmeletus;DEF;non-target demersal fish;Demersal fish
MUT;MUT;Rote Meerbarbe;Red mullet;Mullus barbatus;DEF;non-target demersal fish;Demersal fish
RHG;RHG;Panzergrenadier;Roughhead grenadier;Macrourus berglax;DEF;Grenadiers;Demersal fish
TRX;TRX;Grenadierfische N. N. B.;Grenadier;Macrouridae;DEF;Grenadiers;Demersal fish
LDB;LDB;;Four-spot megrim;Lepidorhombus boscii;DEF;Low-priced flatfish;Demersal fish
ILL;ILL;Kalmare N. N. B.;Squid;Illex spp., Todarodes spp.;CEP;Cephalopods;Cephalopods
CLV;CLV;Venusmuscheln N. N. B.;Venus Clams;Veneridae;MOL;other mussels;Molluscs
GUG;GUG;Grauer Knurrhahn;Grey gurnard;Eutrigla gurnardus;DEF;non-target demersal fish;Demersal fish
BSS;BSS;Seebarsch;Sea bass;Dicentrarchus labrax;DEF;non-target demersal fish;Demersal fish
GUP;GUP;;Gulper shark;Centrophorus granulosus;DWS;non-target demersal fish;Deep-water species
WHX;WHX;;Whelks;Busycon spp.;GAS;other mussels;Gastropods
ALF;ALF;Kaiserbarsche, Alfonsinos;Alfonsinos;Beryx spp.;DWS;non-target demersal fish;Deep-water species
MGR;MGR;Adlerfisch;Meagre;Argyrosomus regius;DEF;non-target demersal fish;Demersal fish
BRF;BRF;Blaumaul;Blue-mouth rockfish;Heliocolenus dactyloterus;DEF;Redfishes;Demersal fish
;;;;;MDD;not defined;Mixed demersal and deep water species
TSU;TSU;NA;Roughsnout grenadier;Trachyrincus scabrus;DWS;not defined;Deep-water species
GAC;GAC;NA;Doublethread grenadier;Gadomus arcuatus;DWS;not defined;Deep-water species
MLT;MLT;NA;Slendertail grenadier;Mataeocephalus tenuicauda;DWS;not defined;Deep-water species
GRM;GRM;NA;Patagonian grenadier;Macruronus magellanicus;DWS;not defined;Deep-water species
GRV;GRV;NA;Grenadiers nei;Macrourus spp;DWS;not defined;Deep-water species
CKE;CKE;NA;Pacific grenadier;Coryphaenoides acrolepis;DWS;not defined;Deep-water species
CQC;CQC;NA;Aconcagua grenadier;Coelorinchus aconcagua;DWS;not defined;Deep-water species
RTX;RTX;NA;Grenadiers, rattails nei;Macrouridae;DWS;not defined;Deep-water species
MLL;MLL;NA;Softhead grenadier;Malacocephalus laevis;DWS;not defined;Deep-water species
CKG;CKG;NA;Amami grenadier;Coryphaenoides marginatus;DWS;not defined;Deep-water species
HRE;HRE;NA;Spotfin surfperch;Hyperprosopon anale;DEF;not defined;Demersal fish
OPP;OPP;NA;Pacific ocean perch;Sebastes alutus;DEF;not defined;Demersal fish
PJR;PJR;NA;Brazilian sandperch;Pinguipes brasilianus;DEF;not defined;Demersal fish
PEW;PEW;NA;White perch;Morone americana;DEF;not defined;Demersal fish
FRU;FRU;NA;White seaperch;Phanerodon furcatus;DEF;not defined;Demersal fish
PES;PES;NA;Sand perch;Diplectrum formosum;DEF;not defined;Demersal fish
RPI;RPI;NA;U-mark sandperch;Parapercis snyderi;DEF;not defined;Demersal fish
AHN;AHN;NA;Swallowtail seaperch;Anthias anthias;DEF;not defined;Demersal fish
MFA;MFA;NA;Barred surfperch;Amphistichus argenteus;DEF;not defined;Demersal fish
ROJ;ROJ;NA;Pacific sandperch;Prolatilus jugularis;DEF;not defined;Demersal fish
OEB;OEB;NA;Blackthroat seaperch;Doederleinia berycoides;DEF;not defined;Demersal fish
CEF;CEF;NA;Malabar sprat;Ehirava fluviatilis;SPF;not defined;Small pelagic fish
CLA;CLA;NA;Black and Caspian Sea sprat;Clupeonella cultriventris;SPF;not defined;Small pelagic fish
CLE;CLE;NA;Anchovy sprat;Clupeonella engrauliformis;SPF;not defined;Small pelagic fish
CUR;CUR;NA;Thai river sprat;Clupeichthys aesarnensis;SPF;not defined;Small pelagic fish
FAS;FAS;NA;Falkland sprat;Sprattus fuegensis;SPF;not defined;Small pelagic fish
PLP;PLP;NA;River Plate sprat;Platanichthys platana;SPF;not defined;Small pelagic fish
REL;REL;NA;King of herrings;Regalecus glesne;DEF;not defined;Demersal fish
SPD;SPD;NA;Delicate round herring;Spratelloides delicatulus;SPF;not defined;Small pelagic fish
SRB;SRB;NA;Two-finned round herring;Spratellomorpha bianalis;SPF;not defined;Small pelagic fish
HKL;HKL;NA;Gulf herring;Herklotsichthys lossei;SPF;not defined;Small pelagic fish
CKI;CKI;NA;Araucanian herring;Strangomera bentincki;SPF;not defined;Small pelagic fish
CDM;CDM;NA;Day's round herring;Dayella malabarica;SPF;not defined;Small pelagic fish
HES;HES;NA;Bluestripe herring;Herklotsichthys quadrimaculat.;SPF;not defined;Small pelagic fish
RRH;RRH;NA;Red-eye round herring;Etrumeus teres;SPF;not defined;Small pelagic fish
CJL;CJL;NA;Dwarf round herring;Jenkinsia lamprotaenia;SPF;not defined;Small pelagic fish
HCC;HCC;NA;False herring;Harengula clupeola;SPF;not defined;Small pelagic fish
HCU;HCU;NA;Redear herring;Harengula humeralis;SPF;not defined;Small pelagic fish
HEP;HEP;NA;Pacific herring;Clupea pallasii;SPF;not defined;Small pelagic fish
HKG;HKG;NA;Goto's herring;Herklotsichthys gotoi;SPF;not defined;Small pelagic fish
SIX;SIX;NA;Sardinellas nei;Sardinella spp;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
SAA;SAA;NA;Round sardinella;Sardinella aurita;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
COL;COL;NA;Sardinia coral;Corallium rubrum;SPF;not defined;Small pelagic fish
RWA;RWA;NA;Rainbow sardines nei;Dussumieria spp;SPF;not defined;Small pelagic fish
SAM;SAM;NA;Bali sardinella;Sardinella lemuru;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
SAS;SAS;NA;Scaled sardines;Harengula spp;SPF;not defined;Small pelagic fish
AGC;AGC;NA;Bleeker smoothbelly sardinella;Amblygaster clupeoides;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
BSR;BSR;NA;Brazilian sardinella;Sardinella brasiliensis;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
EST;EST;NA;White sardine;Escualosa thoracata;SPF;not defined;Small pelagic fish
RAS;RAS;NA;Rainbow sardine;Dussumieria acuta;SPF;not defined;Small pelagic fish
AGL;AGL;NA;Smoothbelly sardinella;Amblygaster leiogaster;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
AGS;AGS;NA;Spotted sardinella;Amblygaster sirm;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
SAE;SAE;NA;Madeiran sardinella;Sardinella maderensis;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
SAG;SAG;NA;Goldstripe sardinella;Sardinella gibbosa;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
CLP;CLP;NA;Herrings, sardines nei;Clupeidae;SPF;not defined;Small pelagic fish
SDM;SDM;NA;Blacktip sardinella;Sardinella melanura;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
SDB;SDB;NA;White sardinella;Sardinella albella;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
CIW;CIW;NA;Sardine cisco;Coregonus sardinella;SPF;not defined;Small pelagic fish
RAL;RAL;NA;Slender rainbow sardine;Dussumieria elopsoides;SPF;not defined;Small pelagic fish
DEQ;DEQ;NA;Four-spotted goby;Deltentosteus quadrimaculatus;DEF;not defined;Demersal fish
RGE;RGE;NA;Redhead goby;Paragobiodon echinocephalus;DEF;not defined;Demersal fish
FIM;FIM;NA;Transparent goby;Aphia minuta;DEF;not defined;Demersal fish
GBN;GBN;NA;Black goby;Gobius niger;DEF;not defined;Demersal fish
GBF;GBF;NA;Two-spotted goby;Gobiusculus flavescens;DEF;not defined;Demersal fish
RSB;RSB;NA;Tusked goby;Risor ruber;DEF;not defined;Demersal fish
GON;GON;NA;Rock goby;Gobius paganellus;DEF;not defined;Demersal fish
DPR;DPR;NA;Spikefin goby;Discordipinna griessingeri;DEF;not defined;Demersal fish
GCR;GCR;NA;Red-mouthed goby;Gobius cruentatus;DEF;not defined;Demersal fish
OBZ;OBZ;NA;Sand goby;Pomatoschistus minutus;DEF;not defined;Demersal fish
GBO;GBO;NA;Grass goby;Zosterisessor ophiocephalus;DEF;not defined;Demersal fish
GHB;GHB;NA;Bucchich's goby;Gobius bucchichi;DEF;not defined;Demersal fish
YTN;YTN;NA;Crystal goby;Crystallogobius linearis;DEF;not defined;Demersal fish
NBU;NBU;NA;Round goby;Neogobius melanostomus;DEF;not defined;Demersal fish
GBC;GBC;NA;Giant goby;Gobius cobitis;DEF;not defined;Demersal fish
MBF;MBF;NA;Knout goby;Mesogobius batrachocephalus;DEF;not defined;Demersal fish
BIF;BIF;NA;De Buen's goby;Buenia affinis;DEF;not defined;Demersal fish
GWV;GWV;NA;Striped goby;Gobius vittatus;DEF;not defined;Demersal fish
GWG;GWG;NA;Slender goby;Gobius geniporus;DEF;not defined;Demersal fish
TGG;TGG;NA;Gold-streaked prawn-goby;Ctenogobiops aurocingulus;DEF;not defined;Demersal fish
RLM;RLM;NA;Burrowing goby;Croilia mossambica;DEF;not defined;Demersal fish
CIL;CIL;NA;Spotted flounder;Citharus linguatula;DEF;not defined;Demersal fish
PLZ;PLZ;NA;Righteye flounders nei;Pleuronectidae;DEF;not defined;Demersal fish
CBZ;CBZ;NA;Blue flounder;Crossorhombus azureus;DEF;not defined;Demersal fish
OUB;OUB;NA;Wide-eyed flounder;Bothus podas;DEF;not defined;Demersal fish
FLD;FLD;NA;Windowpane flounder;Scophthalmus aquosus;DEF;not defined;Demersal fish
OUN;OUN;NA;Leopard flounder;Bothus pantherinus;DEF;not defined;Demersal fish
FSA;FSA;NA;Sand flounders nei;Rhombosolea spp;DEF;not defined;Demersal fish
NYR;NYR;NA;Three-spot flounder;Ancylopsetta dendritica;DEF;not defined;Demersal fish
YEL;YEL;NA;Yellowtail flounder;Limanda ferruginea;DEF;not defined;Demersal fish
EGG;EGG;NA;Largescale flounder;Engyprosopon grandisquama;DEF;not defined;Demersal fish
UHA;UHA;NA;Largetooth flounder;Pseudorhombus arsius;DEF;not defined;Demersal fish
MMM;MMM;NA;Antarctic armless flounder;Mancopsetta maculata;DEF;not defined;Demersal fish
EOG;EOG;NA;Arctic flounder;Pleuronectes glacialis;DEF;not defined;Demersal fish
FLW;FLW;NA;Winter flounder;Pseudopleuronectes americanus;DEF;not defined;Demersal fish
GRH;GRH;NA;Threespot flounder;Grammatobothus polyophthalmus;DEF;not defined;Demersal fish
MJR;MJR;NA;Tudor's flounder;Ammotretis lituratus;DEF;not defined;Demersal fish
ITO;ITO;NA;Twospot largescale flounder;Citharoides macrolepis;DEF;not defined;Demersal fish
TSJ;TSJ;NA;Caribbean flounder;Trichopsetta caribbaea;DEF;not defined;Demersal fish
YFL;YFL;NA;Yellow striped flounder;Pseudopleuronectes herzenst.;DEF;not defined;Demersal fish
YZS;YZS;NA;Dusky flounder;Syacium papillosum;DEF;not defined;Demersal fish
MTS;MTS;NA;Spottail mantis squillid;Squilla mantis;CRU;not defined;Crustaceans
LQH;LQH;NA;Lizard mantis;Lysiosquilla hoevenii;CRU;not defined;Crustaceans
LQS;LQS;NA;Smooth mantis shrimp;Lysiosquilla scabricauda;CRU;not defined;Crustaceans
OII;OII;NA;Mud mantis;Cloridopsis dubia;CRU;not defined;Crustaceans
PQS;PQS;NA;Three spined mantis;Parasquilla similis;CRU;not defined;Crustaceans
QLB;QLB;NA;Sorcerer mantis shrimp;Squilla biformis;CRU;not defined;Crustaceans
QLV;QLV;NA;Small mantis shrimp;Squilla parva;CRU;not defined;Crustaceans
QLA;QLA;NA;Kicking mantis shrimp;Squilla aculeata;CRU;not defined;Crustaceans
QLE;QLE;NA;Rough mantis shrimp;Squilla empusa;CRU;not defined;Crustaceans
OQM;OQM;NA;Red sea mantis shrimp;Erugosquilla massavensis;CRU;not defined;Crustaceans
QLC;QLC;NA;Angolan mantis srimp;Squilla cadenati;CRU;not defined;Crustaceans
QLM;QLM;NA;Catalina mantis;Squilla mantoidea;CRU;not defined;Crustaceans
QLP;QLP;NA;Panama mantis shrimp;Squilla panamensis;CRU;not defined;Crustaceans
QLW;QLW;NA;Bigelow mantis shrimp;Squilla bigelowi;CRU;not defined;Crustaceans
HQE;HQE;NA;Keeled witch mantis;Hemisquilla ensigera;CRU;not defined;Crustaceans
SYC;SYC;NA;Small-spotted catshark;Scyliorhinus canicula;DEF;not defined;Demersal fish
GAG;GAG;NA;Tope shark;Galeorhinus galeus;DEF;not defined;Demersal fish
AGN;AGN;NA;Angelshark;Squatina squatina;DEF;not defined;Demersal fish
DWS;DWS;NA;Deep-water sharks nei;Elasmobranchii;DEF;not defined;Demersal fish
MSK;MSK;NA;Mackerel sharks,porbeagles nei;Lamnidae;DEF;not defined;Demersal fish
SCL;SCL;NA;Catsharks, nursehounds nei;Scyliorhinus spp;DEF;not defined;Demersal fish
SYX;SYX;NA;Catsharks, etc. nei;Scyliorhinidae;DEF;not defined;Demersal fish
